name: 248/profile/01.jpg, resolution: 212x225, color: RGB, face detected: True, distances: [0.58, 0.75, 1.06, 0.47, 0.53, 0.72, 0.45, 0.63, 0.38, 1.13, 0.83, 0.5, 0.86], mean: 0.6838461538461539
name: 248/profile/02.jpg, resolution: 301x384, color: RGB, face detected: True, distances: [0.56, 0.79, 1.27, 0.3, 0.35, 0.65, 0.36, 0.56, 0.16, 1.13, 0.91, 0.5, 0.83], mean: 0.6438461538461537
name: 248/profile/03.jpg, resolution: 314x338, color: RGB, face detected: True, distances: [0.57, 0.93, 1.31, 0.39, 0.44, 0.73, 0.4, 0.62, 0.21, 1.08, 0.99, 0.62, 1.0], mean: 0.7146153846153847
name: 248/profile/04.jpg, resolution: 86x86, color: RGB, face detected: True, distances: [0.4, 0.3, 0.66, 0.67, 1.15, 0.6, 0.61, 0.61, 0.92, 0.8, 0.43, 0.6, 0.39], mean: 0.6261538461538461
name: 190/profile/01.jpg, resolution: 167x190, color: RGB, face detected: True, distances: [0.83, 1.05, 1.98, 1.11, 0.75, 1.43, 1.06, 1.27, 0.61, 1.6, 1.43, 0.85, 1.26], mean: 1.1715384615384612
name: 190/profile/02.jpg, resolution: 158x163, color: RGB, face detected: True, distances: [0.73, 0.93, 1.91, 1.13, 0.77, 1.39, 1.09, 1.26, 0.68, 1.52, 1.36, 0.78, 1.13], mean: 1.1292307692307693
name: 190/profile/03.jpg, resolution: 408x501, color: RGB, face detected: True, distances: [0.8, 1.26, 1.58, 0.58, 0.39, 0.94, 0.7, 0.86, 0.39, 1.45, 1.31, 0.93, 1.32], mean: 0.9623076923076923
name: 190/profile/04.jpg, resolution: 269x306, color: RGB, face detected: True, distances: [0.76, 0.54, 0.96, 0.33, 0.63, 0.37, 0.21, 0.25, 0.36, 0.57, 0.11, 0.15, 0.19], mean: 0.4176923076923078
name: 052/profile/01.jpg, resolution: 193x210, color: RGB, face detected: True, distances: [0.94, 1.46, 2.08, 1.2, 0.93, 1.44, 1.17, 1.34, 0.88, 1.82, 1.65, 1.12, 1.55], mean: 1.3523076923076924
name: 052/profile/02.jpg, resolution: 159x158, color: RGB, face detected: True, distances: [0.63, 0.96, 1.86, 0.96, 0.61, 1.23, 0.93, 1.12, 0.49, 1.38, 1.24, 0.69, 1.06], mean: 1.0123076923076924
name: 052/profile/03.jpg, resolution: 271x288, color: RGB, face detected: True, distances: [0.49, 0.38, 0.58, 0.74, 1.14, 0.63, 0.59, 0.51, 0.82, 0.62, 0.27, 0.35, 0.34], mean: 0.5738461538461538
name: 052/profile/04.jpg, resolution: 219x209, color: RGB, face detected: True, distances: [0.18, 0.41, 0.52, 0.94, 0.95, 0.68, 0.75, 0.61, 0.68, 0.49, 0.18, 0.21, 0.18], mean: 0.5215384615384615
name: 113/profile/01.jpg, resolution: 98x95, color: RGB, face detected: True, distances: [0.53, 0.83, 1.35, 0.41, 0.47, 0.76, 0.47, 0.7, 0.33, 1.04, 0.83, 0.5, 0.73], mean: 0.6884615384615385
name: 113/profile/02.jpg, resolution: 229x194, color: RGB, face detected: True, distances: [0.29, 0.51, 1.32, 0.55, 0.56, 0.91, 0.55, 0.76, 0.44, 1.02, 0.83, 0.4, 0.64], mean: 0.6753846153846155
name: 113/profile/03.jpg, resolution: 251x219, color: RGB, face detected: True, distances: [0.42, 0.65, 1.21, 0.44, 0.52, 0.73, 0.47, 0.68, 0.37, 1.05, 0.85, 0.46, 0.73], mean: 0.66
name: 113/profile/04.jpg, resolution: 146x157, color: RGB, face detected: True, distances: [0.44, 0.53, 1.59, 0.96, 0.77, 1.16, 0.86, 1.06, 0.53, 1.2, 0.98, 0.28, 0.69], mean: 0.8500000000000001
name: 492/profile/01.jpg, resolution: 242x258, color: RGB, face detected: True, distances: [0.71, 0.43, 0.84, 0.6, 1.03, 0.48, 0.44, 0.39, 0.71, 0.61, 0.16, 0.31, 0.22], mean: 0.533076923076923
